date,price,bedrooms,bathrooms,sqft_living,floors,waterfront,view,grade,sqft_above,sqft_basement,lat,sqft_living15
20150302,719000.0,4.0,2.5,2570,2.0,0,0,8,2570,0,47.7073,2630
20141110,580500.0,3.0,2.5,2320,2.0,0,0,8,2320,0,47.5391,2580
20141201,280000.0,2.0,1.5,1190,3.0,0,0,7,1190,0,47.7274,1390
20140624,687500.0,4.0,1.75,2330,1.5,0,0,7,1510,820,47.6823,1460
20141110,535000.0,3.0,1.0,1090,1.5,0,0,8,1090,0,47.6889,1570
20141203,322500.0,4.0,2.75,2060,1.0,0,0,7,1280,780,47.4276,2020
20140613,696000.0,3.0,2.5,2300,1.5,0,0,8,1510,790,47.6827,1590
20140528,550000.0,4.0,1.0,1660,1.0,0,0,5,930,730,47.6621,2160
20141230,640000.0,4.0,2.0,2360,2.0,0,0,8,2360,0,47.6702,1730
20150213,240000.0,4.0,1.0,1220,1.0,0,0,7,890,330,47.3341,1290
20140620,605000.0,4.0,2.5,2620,2.0,0,0,8,2620,0,47.5301,2620
20140715,625000.0,4.0,2.5,2570,2.0,0,0,9,2570,0,47.6145,2470
20140811,775000.0,4.0,2.25,4220,1.0,0,0,8,2600,1620,47.445,2410
20140707,861990.0,5.0,2.75,3595,2.0,0,0,9,3595,0,47.6848,3625
20141028,685000.0,3.0,1.0,1570,2.0,0,0,7,1570,0,47.6413,1580
20140729,309000.0,3.0,1.0,1280,1.0,0,0,6,920,360,47.4485,1340
20140718,488000.0,3.0,2.5,3160,2.0,0,0,8,3160,0,47.7443,3050
20150325,210490.0,3.0,1.0,990,1.0,0,0,6,990,0,47.3066,1228
20140716,785000.0,4.0,2.5,2290,2.0,0,0,9,2290,0,47.6194,2680
20150428,450000.0,3.0,1.75,1250,1.0,0,0,7,1250,0,47.6796,970
20150311,1350000.0,3.0,2.5,2753,1.0,1,2,9,2165,588,47.4041,2680
20140916,228000.0,3.0,1.0,1190,1.0,0,0,7,1190,0,47.4258,1190
20150217,345000.0,5.0,2.5,3150,1.0,0,0,8,1640,1510,47.4934,1990
20141231,600000.0,3.0,1.75,1410,1.0,0,0,7,1000,410,47.6808,1410
20150205,585000.0,2.0,1.75,1980,1.0,0,0,7,990,990,47.6989,1480
20150303,920000.0,5.0,2.25,2730,1.5,0,0,8,2130,600,47.6571,2730
20140512,885000.0,4.0,2.5,2830,2.0,0,0,9,2830,0,47.6597,1950
20140819,292500.0,4.0,2.5,2250,2.0,0,0,7,2250,0,47.3663,2250
20150407,301000.0,3.0,2.5,2420,2.0,0,0,8,2420,0,47.3663,2690
20140827,951000.0,5.0,3.25,3250,2.0,0,4,8,3250,0,47.588,2960
20150223,430000.0,4.0,3.0,1850,2.0,0,0,8,1850,0,47.5059,2270
20141210,650000.0,3.0,2.25,2150,1.0,0,3,8,1590,560,47.4336,2570
20140828,289000.0,3.0,1.75,1260,1.0,0,0,7,1260,0,47.4366,1290
20141021,505000.0,3.0,1.75,2519,2.0,0,0,8,2519,0,47.4428,2500
20141207,549000.0,3.0,1.75,1540,3.0,0,0,8,1540,0,47.6765,1580
20140603,425000.0,3.0,2.25,1660,1.0,0,0,7,1110,550,47.6113,1440
20141120,317625.0,3.0,2.75,2770,1.5,0,0,7,1770,1000,47.5747,1440
20140909,975000.0,4.0,2.5,2720,2.0,0,0,10,2720,0,47.5815,2750
20141009,287000.0,4.0,2.5,2240,2.0,0,0,7,2240,0,47.3378,2221
20140825,204000.0,3.0,1.0,1000,1.0,0,0,7,1000,0,47.3621,1010
20140612,1325000.0,5.0,2.25,3200,1.0,0,0,8,1600,1600,47.6303,3390
20140912,1040000.0,5.0,3.25,4770,1.0,0,0,11,3070,1700,47.6525,3530
20150105,325000.0,3.0,2.0,1260,1.0,0,0,7,1260,0,47.7362,1640
20140610,571000.0,4.0,2.0,2750,1.5,0,0,7,2250,500,47.7168,1510
20140710,360000.0,4.0,2.5,2380,2.0,0,0,8,2380,0,47.3608,2420
20150316,349000.0,3.0,1.75,1790,1.0,0,0,7,1090,700,47.3511,1940
20141105,832500.0,4.0,4.0,3430,2.0,0,0,10,2390,1040,47.5822,3240
20141013,380000.0,4.0,1.75,1760,1.0,0,0,7,880,880,47.6034,1680
20150420,480000.0,3.0,1.0,1040,1.0,0,0,7,1040,0,47.5636,890
20140609,410000.0,3.0,1.0,1410,1.0,0,0,7,910,500,47.7073,1130
20150323,720000.0,4.0,2.5,3450,2.0,0,0,10,3450,0,47.342,3350
20141202,390000.0,3.0,2.5,2350,2.0,0,0,8,2350,0,47.3512,2350
20141222,360000.0,4.0,2.5,1900,2.0,0,0,7,1900,0,47.349,1870
20141028,355000.0,2.0,1.0,2020,1.0,0,0,7,1010,1010,47.5474,1720
20150128,356000.0,3.0,1.5,1680,1.0,0,0,8,1680,0,47.4811,1850
20140602,315000.0,3.0,1.0,960,1.0,0,0,6,960,0,47.7264,1570
20141114,940000.0,3.0,1.5,2140,2.0,0,0,9,1900,240,47.6337,2020
20141103,305000.0,5.0,2.25,2660,1.5,0,0,7,2660,0,47.2909,1590
20140618,461000.0,3.0,3.25,2770,2.0,0,0,9,1980,790,47.5228,1900
20140519,215000.0,2.0,2.25,1610,2.0,0,0,7,1610,0,47.518,1950
20140904,335000.0,2.0,1.75,1030,2.0,0,0,7,765,265,47.5394,1030
20140522,243500.0,4.0,2.5,1980,2.0,0,0,7,1980,0,47.2897,1980
20150311,1099880.0,5.0,2.75,3520,2.0,0,0,10,3520,0,47.6506,2520
20150226,153000.0,3.0,1.0,1200,1.0,0,0,7,1200,0,47.322,1350
20140725,430000.0,3.0,1.5,1580,1.0,0,0,8,1290,290,47.687,1570
20141223,700000.0,3.0,1.5,1580,1.0,0,0,8,1290,290,47.687,1570
20140908,905000.0,4.0,2.5,3300,1.0,0,0,7,2390,910,47.5873,1950
20150330,247500.0,3.0,1.75,1960,1.0,0,0,7,1960,0,47.3576,1750
20140912,199000.0,4.0,1.5,1160,1.0,0,0,7,1160,0,47.3036,1160
20140711,314000.0,3.0,1.75,1810,1.0,0,0,7,1210,600,47.4109,1650
20140516,437500.0,3.0,2.5,2320,2.0,0,2,9,2320,0,47.4838,2550
20140611,850830.0,3.0,2.5,2070,1.5,0,0,9,1270,800,47.6415,2200
20141027,555000.0,3.0,2.0,1980,1.5,0,0,7,1440,540,47.6775,1610
20141212,699950.0,3.0,2.25,2190,2.0,0,0,8,2190,0,47.7731,2570
20141007,1088000.0,3.0,2.5,2920,2.0,0,0,8,2920,0,47.5814,2370
20140924,290000.0,3.0,1.0,1210,1.0,0,0,7,1210,0,47.4375,1640
20150402,375000.0,3.0,2.5,2340,1.0,0,0,8,1460,880,47.4431,2250
20140523,460000.0,3.0,1.0,1670,1.5,0,0,7,1170,500,47.6878,1240
20140723,188500.0,2.0,1.75,1240,1.0,0,0,8,1240,0,47.3813,1270
20150305,680000.0,4.0,2.5,3140,2.0,0,0,10,3140,0,47.7304,2990
20140827,470000.0,5.0,1.75,2030,2.0,0,0,7,2030,0,47.6417,2500
20140725,597750.0,4.0,2.5,2310,2.0,0,0,8,2310,0,47.5386,1940
20150304,570000.0,3.0,1.75,1260,1.0,0,0,6,700,560,47.6823,1380
20140916,272500.0,3.0,1.75,1540,1.0,0,0,7,1160,380,47.3624,1540
20141124,329950.0,3.0,1.75,2080,1.0,0,2,7,1080,1000,47.5474,2090
20141028,480000.0,4.0,2.5,3230,2.0,0,3,9,2520,710,47.3183,2640
20141121,740500.0,3.0,3.5,4380,2.0,0,0,8,2780,1600,47.6981,1830
20140626,518500.0,3.0,3.5,1590,3.0,0,0,8,1590,0,47.6824,1620
20140623,205425.0,2.0,1.0,880,1.0,0,0,6,880,0,47.5009,1190
20150108,171800.0,4.0,2.0,1570,1.0,0,0,6,1570,0,47.4965,1880
20150511,535000.0,4.0,1.0,1610,1.5,0,0,7,1610,0,47.587,1610
20150102,660000.0,3.0,2.5,2400,1.0,0,2,8,1560,840,47.7728,2340
20141119,391500.0,3.0,2.0,1450,1.0,0,0,7,1450,0,47.7288,1580
20150406,395000.0,2.0,1.0,770,1.0,0,0,6,770,0,47.6999,1710
20141104,445000.0,4.0,1.75,2100,1.5,0,0,7,1720,380,47.5299,1850
20140618,770000.0,3.0,2.25,2910,2.0,0,0,9,2910,0,47.6897,2700
20150302,1450000.0,4.0,2.75,2750,1.5,0,0,8,1980,770,47.6141,3060
20140717,445000.0,3.0,2.25,2100,1.0,0,2,8,1620,480,47.5091,2660
20140717,260000.0,4.0,2.25,2160,1.0,0,0,8,1360,800,47.3129,2090
20140613,822500.0,5.0,3.5,2320,2.0,0,0,7,1720,600,47.6763,1700
20150406,430000.0,4.0,2.5,2070,2.0,0,0,7,2070,0,47.5319,1970
20150105,212000.0,3.0,1.75,1060,1.0,0,0,7,1060,0,47.2761,1420
20150428,660500.0,4.0,2.25,2010,1.0,0,0,8,1440,570,47.5343,2060
20140612,784000.0,3.0,3.5,3950,1.5,0,0,9,2460,1490,47.697,2480
20140512,453246.0,3.0,2.5,2010,2.0,0,0,8,1390,620,47.5517,1690
20150126,675000.0,4.0,3.5,2140,3.0,0,0,9,2140,0,47.6734,1540
20140813,199000.0,3.0,1.75,1320,1.0,0,0,7,1320,0,47.3257,1550
20140805,220000.0,4.0,1.75,2020,1.0,0,0,7,1010,1010,47.3309,1750
20140529,452000.0,4.0,2.25,2590,1.0,0,0,8,1340,1250,47.7689,1550
20140707,382500.0,2.0,1.0,1190,1.0,0,0,6,1190,0,47.7135,1060
20140507,519950.0,3.0,2.25,1170,3.0,0,0,8,1170,0,47.6722,1350
20140627,665000.0,2.0,1.0,1110,1.0,0,0,7,1110,0,47.6338,1170
20140708,527700.0,5.0,2.5,2820,1.0,0,0,8,1550,1270,47.5707,2820
20150508,205000.0,3.0,1.0,1610,1.0,0,0,7,1010,600,47.4563,1610
20150415,420000.0,3.0,1.0,1060,1.0,0,0,7,940,120,47.7144,1560
20150227,500000.0,4.0,2.25,2030,1.0,0,0,8,1380,650,47.5495,2230
20141203,921500.0,4.0,2.5,3670,2.0,0,0,9,3670,0,47.7421,2840
20140625,890000.0,4.0,1.0,2550,2.0,0,0,8,2370,180,47.6354,2200
20140806,430000.0,2.0,2.5,2420,2.0,0,0,7,2420,0,47.5262,1940
20141030,258000.0,5.0,2.0,2260,1.0,0,0,8,1130,1130,47.3887,1360
20141104,511000.0,3.0,1.0,1430,1.0,0,0,7,980,450,47.6873,1450
20140820,532170.0,3.0,2.0,1360,2.0,0,0,8,1360,0,47.6838,1500
20150409,560000.0,3.0,1.0,1110,1.5,0,0,7,1110,0,47.655,1420
20150331,282950.0,3.0,1.0,1250,1.0,0,0,7,1250,0,47.3255,1680
20150401,2250000.0,4.0,3.25,5180,2.0,0,3,12,3540,1640,47.562,3160
20140516,350000.0,1.0,1.0,700,1.0,0,0,7,700,0,47.679,1010
20140728,215000.0,3.0,1.0,1180,1.0,0,0,7,1180,0,47.4479,1190
20141120,650000.0,5.0,3.5,3960,2.0,0,0,9,2500,1460,47.525,2640
20140807,320000.0,4.0,2.75,2640,1.0,0,0,8,1620,1020,47.3135,1980
20141113,247000.0,3.0,2.0,1270,1.5,0,0,7,1270,0,47.2086,1160
20141003,320000.0,4.0,1.75,1760,1.0,0,0,8,1760,0,47.4715,1730
20140507,255000.0,5.0,2.25,2060,1.0,0,0,7,1030,1030,47.4877,1010
20150309,438000.0,3.0,1.75,1780,1.0,0,0,7,1780,0,47.7171,1200
20150304,900000.0,3.0,2.5,3400,2.0,0,0,10,3400,0,47.6012,3400
20140620,441000.0,3.0,2.75,1910,1.0,0,0,7,1160,750,47.7319,1710
20140812,420000.0,3.0,2.0,2020,1.0,0,0,7,1010,1010,47.4582,2110
20141208,370000.0,3.0,1.75,1580,1.0,0,0,7,1180,400,47.7209,1640
20150219,269950.0,2.0,1.75,1340,1.0,0,0,5,700,640,47.408,1830
20150324,807100.0,4.0,2.5,2680,2.0,0,0,9,2680,0,47.565,2920
20140605,653000.0,3.0,2.5,2680,1.0,0,0,8,1610,1070,47.7028,2480
20140611,371500.0,3.0,2.0,1370,1.0,0,0,7,1370,0,47.7458,1770
20150316,284000.0,3.0,1.75,1560,1.0,0,0,7,1560,0,47.4776,1070
20150102,272000.0,3.0,1.75,2160,1.0,0,0,7,1670,490,47.3026,1930
20140502,313000.0,3.0,1.5,1340,1.5,0,0,7,1340,0,47.7658,1480
20150116,917500.0,4.0,2.5,3880,2.0,0,0,10,2570,1310,47.6477,3740
20140929,673000.0,4.0,2.25,2590,2.0,0,0,8,2590,0,47.5619,2260
20150210,425000.0,3.0,2.5,1120,2.0,0,0,8,820,300,47.6106,1590
20140709,399950.0,5.0,2.75,1970,1.0,0,0,7,1320,650,47.5868,1280
20140530,385000.0,3.0,1.0,1220,1.0,0,0,6,1220,0,47.6101,1200
20141117,269950.0,3.0,1.5,1950,1.0,0,2,7,1320,630,47.1976,1950
20150107,330000.0,2.0,1.0,1350,1.0,0,0,7,1060,290,47.7224,1540
20140725,260000.0,3.0,2.5,1670,2.0,0,0,7,1670,0,47.3505,1670
20150414,470000.0,4.0,3.0,2380,1.5,0,0,7,1680,700,47.5384,1410
20140613,589000.0,4.0,3.0,2440,2.0,0,0,7,2440,0,47.7044,2290
20140723,163500.0,2.0,1.5,1050,2.0,0,0,7,1050,0,47.3848,1050
20140905,835000.0,4.0,2.75,3130,2.0,0,0,9,2140,990,47.6993,2260
20141121,1095000.0,5.0,3.0,4090,1.0,0,2,10,2090,2000,47.6627,2540
20150415,269000.0,4.0,1.75,1490,1.0,0,0,8,1100,390,47.3099,2190
20140505,560000.0,3.0,2.5,1900,2.0,0,0,8,1900,0,47.62,2030
20150418,615000.0,4.0,1.0,1330,1.5,0,0,6,1330,0,47.65,1330
20141205,585188.0,3.0,2.25,2230,1.0,0,0,8,1430,800,47.6647,2230
20140818,305000.0,3.0,1.75,1650,1.0,0,0,7,1220,430,47.726000000000006,1540
20141105,166950.0,3.0,1.0,1190,1.0,0,0,6,1190,0,47.4616,1230
20140912,799000.0,3.0,2.5,2140,1.0,0,0,8,2140,0,47.5505,2680
20140625,400000.0,3.0,2.5,2180,1.0,0,0,7,1420,760,47.7606,1900
20141201,230000.0,3.0,1.0,1060,1.0,0,0,7,1060,0,47.7481,1570
20140515,256883.0,3.0,2.5,1690,2.0,0,0,8,1690,0,47.2779,2550
20141111,423000.0,4.0,2.0,1970,1.5,0,0,7,1130,840,47.5511,1500
20140723,465000.0,3.0,2.5,2150,2.0,0,0,8,2150,0,47.5488,1750
20150113,440000.0,3.0,2.5,1910,2.0,0,0,7,1910,0,47.5385,2330
20141014,385000.0,3.0,1.75,1350,1.0,0,0,7,1350,0,47.4058,1560
20150311,210000.0,3.0,1.0,860,1.0,0,0,6,860,0,47.5093,1300
20141112,297000.0,3.0,2.5,1940,2.0,0,0,8,1940,0,47.3777,2030
20140716,470000.0,3.0,1.0,1010,1.0,0,0,7,1010,0,47.675,1680
20140804,226500.0,3.0,1.5,1300,1.0,0,0,7,900,400,47.3025,1430
20150303,274250.0,3.0,1.0,910,1.0,0,0,6,910,0,47.4787,1400
20140804,840000.0,4.0,1.75,2480,1.0,0,0,9,1630,850,47.5378,2770
20140919,677900.0,3.0,2.5,2440,2.0,0,0,8,2440,0,47.7073,2750
20150205,425000.0,3.0,1.0,1010,1.0,0,0,7,1010,0,47.5733,1290
20141123,180250.0,2.0,0.75,900,1.0,0,0,6,900,0,47.4604,1250
20140717,464000.0,6.0,3.0,2300,2.0,0,0,7,1600,700,47.7067,1560
20150422,320000.0,4.0,2.25,1550,2.0,0,0,8,1550,0,47.354,1630
20140717,625504.0,3.0,2.25,1270,2.0,0,0,8,1060,210,47.6647,1160
20140515,592500.0,4.0,2.5,2240,1.0,0,0,9,2240,0,47.6143,2520
20150114,465000.0,3.0,2.5,2714,2.0,0,0,9,2714,0,47.3185,2590
20140527,477000.0,4.0,2.75,1720,2.0,0,0,8,1720,0,47.5458,2130
20150115,280000.0,2.0,1.0,850,1.0,0,0,6,850,0,47.4889,1100
20150221,1505000.0,5.0,3.0,3300,1.0,0,3,9,1870,1430,47.5673,3836
20140703,445838.0,3.0,2.5,2250,2.0,0,0,8,2250,0,47.5133,1320
20140828,1072000.0,2.0,2.25,3900,1.0,0,3,8,1950,1950,47.5884,2580
20141023,467000.0,2.0,1.5,1320,1.0,0,0,8,1320,0,47.7145,2120
20140822,686000.0,4.0,2.5,2760,2.0,0,0,10,2760,0,47.5836,3070
20140605,279950.0,3.0,2.0,1750,1.0,0,0,7,1350,400,47.398,1900
20140904,527000.0,4.0,2.25,2330,2.0,0,0,8,2330,0,47.7663,1910
20140918,325000.0,3.0,2.25,2220,1.0,0,0,8,1780,440,47.3758,2080
20140903,328000.0,3.0,2.25,2020,2.0,0,0,7,2020,0,47.3828,2020
20140604,390000.0,3.0,2.25,1250,1.0,0,0,7,1250,0,47.5123,1280
20150309,479950.0,2.0,2.0,1510,1.0,0,0,8,1510,0,47.7076,1640
20140529,264950.0,4.0,2.25,1720,1.0,0,0,7,1120,600,47.2922,1510
20150115,235000.0,3.0,1.0,1430,1.0,0,0,7,980,450,47.4075,1960
20150303,516500.0,3.0,2.5,1480,2.0,0,0,7,1480,0,47.6794,2250
20150413,655000.0,2.0,1.75,1450,2.0,1,4,7,1230,220,47.4497,2030
20140616,500000.0,4.0,2.75,2280,1.0,0,0,7,2280,0,47.5218,2280
20141121,315000.0,6.0,2.75,2940,1.0,0,0,8,1780,1160,47.3103,2120
20141120,213000.0,2.0,1.0,1000,1.0,0,0,6,1000,0,47.5687,1150
20140902,475000.0,3.0,1.5,2480,1.5,0,0,7,1620,860,47.5575,2090
20140610,1025000.0,5.0,4.0,3760,2.0,0,0,10,3760,0,47.6489,3430
20150409,416000.0,3.0,2.0,2220,1.0,0,0,7,1640,580,47.3459,2070
20150320,410000.0,4.0,1.0,1970,1.5,0,0,7,1670,300,47.6136,1510
20140701,800000.0,3.0,3.5,3830,2.0,0,0,10,3530,300,47.7641,2920
20140529,472000.0,6.0,2.5,4410,1.0,0,2,9,2350,2060,47.3376,2600
20141208,225000.0,3.0,1.75,1430,1.0,0,0,7,1430,0,47.3173,1190
20141001,210000.0,2.0,1.0,830,1.0,0,0,6,830,0,47.5308,830
20150127,455000.0,2.0,1.0,1430,1.5,0,0,7,1430,0,47.6727,1450
20150427,225000.0,3.0,1.0,1300,1.0,0,0,6,1300,0,47.3221,1260
20140826,480000.0,2.0,1.0,1030,1.0,0,2,7,790,240,47.6779,1390
20150212,363000.0,3.0,2.5,2740,2.0,0,0,9,2740,0,47.3076,2570
20140929,2400000.0,4.0,2.5,3650,1.0,1,4,9,1830,1820,47.6338,3120
20150226,181000.0,2.0,1.5,720,1.0,0,0,6,720,0,47.5218,1150
20150314,250000.0,4.0,2.0,2010,1.0,0,0,7,2010,0,47.2785,2010
20150422,481000.0,3.0,1.75,1560,1.0,0,0,6,770,790,47.6846,1390
20140923,260000.0,3.0,2.0,1810,1.0,0,0,7,1240,570,47.3656,1750
20140513,455000.0,4.0,2.5,3360,2.0,0,0,9,3360,0,47.4369,3060
20150401,415000.0,3.0,2.25,1510,2.0,0,0,8,1510,0,47.4616,1730
20150421,349500.0,3.0,1.0,1400,1.0,0,0,7,800,600,47.5405,1620
20140929,245000.0,3.0,2.5,1730,2.0,0,0,7,1730,0,47.3507,1630
20140519,592500.0,2.0,2.0,1420,1.5,0,2,7,1420,0,47.6979,1420
20141020,385000.0,4.0,1.75,2360,1.0,0,0,7,1180,1180,47.5278,1910
20150211,315000.0,3.0,1.75,1580,1.0,0,0,7,1200,380,47.4756,1550
20141124,255000.0,3.0,1.0,1230,1.0,0,0,7,1230,0,47.4437,1380
20140829,693000.0,4.0,2.5,2460,2.0,0,0,8,2460,0,47.7048,2990
20141202,780000.0,3.0,1.0,1660,1.5,0,0,8,1460,200,47.6362,1660
20141024,237000.0,3.0,1.75,1270,1.0,0,0,7,1270,0,47.4207,1600
20141216,525000.0,3.0,2.25,2100,2.0,0,0,10,1320,780,47.6154,2380
20150428,425000.0,2.0,1.0,770,1.0,0,0,5,770,0,47.5964,1330
20141027,369900.0,1.0,0.75,760,1.0,1,4,5,760,0,47.4683,1230
20140519,290000.0,4.0,2.5,1700,2.0,0,0,7,1700,0,47.4045,1950
20140929,285000.0,3.0,1.0,1120,1.0,0,0,7,1120,0,47.5544,1130
20140814,415000.0,2.0,1.0,1070,1.0,0,0,7,1070,0,47.6802,1320
20150409,272500.0,3.0,2.5,2070,1.0,0,0,8,1420,650,47.2988,2070
20150504,2900000.0,4.0,3.25,5050,1.5,0,2,11,4750,300,47.6312,3890
20141007,1365000.0,4.0,4.75,5310,2.0,0,0,11,5310,0,47.7285,4180
20150501,436000.0,2.0,1.0,1040,1.0,0,0,7,1040,0,47.7107,1440
20141017,210000.0,3.0,1.0,1700,1.0,0,0,7,1700,0,47.3271,1350
20140925,236000.0,3.0,1.0,1300,1.0,0,0,7,1300,0,47.5053,1320
20141124,331000.0,3.0,1.75,1080,1.0,0,0,7,580,500,47.6601,1440
20150320,365000.0,3.0,2.5,2653,2.0,0,0,8,2653,0,47.4145,2653
20150127,450000.0,3.0,2.0,2290,1.0,0,0,8,2290,0,47.4672,1660
20141113,770000.0,4.0,2.75,3820,2.0,0,0,9,2850,970,47.7618,1860
20150505,455000.0,4.0,2.5,2210,1.0,0,0,8,2210,0,47.3828,2670
20150505,405000.0,3.0,1.75,2390,1.0,0,0,6,1240,1150,47.5362,2020
20140703,304900.0,4.0,1.75,2600,1.0,0,0,7,1610,990,47.3954,1720
20150227,170000.0,2.0,1.0,860,1.0,0,0,6,860,0,47.5048,1650
20150513,2050000.0,5.0,3.0,3830,2.0,0,1,9,2630,1200,47.6166,3050
20140630,780000.0,4.0,2.5,3500,2.0,0,0,9,3500,0,47.6811,3920
20150410,330000.0,3.0,3.0,2420,1.0,0,0,8,1740,680,47.7486,2570
20140905,370000.0,4.0,2.5,2720,2.0,0,0,9,2720,0,47.3846,2410
20141017,467000.0,5.0,2.25,2500,1.0,0,0,7,1850,650,47.7564,2300
20150209,405000.0,3.0,1.75,1670,1.0,0,0,7,1140,530,47.7198,1670
20140702,675000.0,5.0,2.25,2900,1.0,0,0,8,1450,1450,47.5461,2310
20140812,500000.0,2.0,1.0,1640,1.0,0,0,7,1140,500,47.5712,1520
20140723,389999.0,4.0,2.5,1890,2.0,0,0,7,1890,0,47.4281,2410
20150224,630000.0,4.0,1.75,2950,1.0,0,2,8,1780,1170,47.7128,2120
20141022,360000.0,4.0,2.5,2160,2.0,0,0,9,2160,0,47.3341,2280
20141002,580000.0,4.0,3.0,3280,2.0,0,0,8,2270,1010,47.5399,2320
20140709,550000.0,3.0,2.0,1970,2.0,0,3,8,1270,700,47.5717,2390
20140710,879000.0,4.0,2.5,3360,2.0,0,0,10,3360,0,47.5951,3150
20140822,265000.0,3.0,2.0,1320,1.0,0,0,7,1320,0,47.3536,1740
20150304,446500.0,3.0,2.5,2650,2.0,0,0,8,2650,0,47.5084,2400
20140602,404000.0,3.0,1.5,2030,1.0,0,0,7,1330,700,47.5586,2140
20140529,267500.0,3.0,1.75,1590,1.0,0,2,7,1090,500,47.4427,1630
20140624,3075000.0,4.0,5.0,4550,1.0,1,4,10,2600,1950,47.6053,4550
20140811,335000.0,3.0,2.5,2440,2.0,0,0,8,2440,0,47.3494,2510
20140619,576000.0,3.0,2.5,1940,1.0,0,0,7,970,970,47.6933,2190
20150401,208633.0,3.0,2.5,2040,2.0,0,0,8,2040,0,47.3537,2370
20150115,315000.0,3.0,2.25,2200,1.0,0,0,7,1120,1080,47.476000000000006,1460
20150217,725000.0,3.0,1.75,1920,1.0,0,0,8,960,960,47.6239,1740
20150403,550000.0,4.0,2.75,1800,1.0,0,0,8,1400,400,47.7776,1800
20140612,610750.0,4.0,2.25,2180,2.0,0,0,8,2180,0,47.6459,2250
20150228,550700.0,2.0,1.0,1010,1.5,0,0,6,1010,0,47.6692,1460
20150108,665000.0,4.0,2.75,3320,2.0,0,0,8,2220,1100,47.5376,2720
20150209,834000.0,4.0,2.5,2370,1.5,0,2,8,1980,390,47.601000000000006,2440
20141023,201000.0,5.0,1.75,1660,1.5,0,0,6,1660,0,47.529,1660
20140502,2384000.0,5.0,2.5,3650,2.0,0,4,10,3370,280,47.6345,2880
20140618,1384000.0,4.0,3.25,4290,1.0,0,3,11,2690,1600,47.5503,3860
20141209,1400000.0,4.0,3.25,4290,1.0,0,3,11,2690,1600,47.5503,3860
20141105,305000.0,4.0,2.25,1950,1.0,0,0,8,1350,600,47.4441,2150
20150408,487000.0,3.0,2.0,2590,1.0,0,0,8,1720,870,47.7357,1570
20150511,390000.0,3.0,2.5,1930,1.0,0,0,8,1930,0,47.346,2350
20140723,548000.0,2.0,1.0,1470,1.0,0,0,7,1170,300,47.6638,1570
20141122,268750.0,4.0,1.0,800,1.0,0,0,6,800,0,47.48,1310
20140513,819900.0,5.0,2.75,3150,2.0,0,0,9,3150,0,47.6759,1560
20141023,520000.0,3.0,2.25,2030,2.0,0,0,8,2030,0,47.5162,2660
20140721,230000.0,3.0,2.0,1450,1.0,0,0,7,1450,0,47.2639,1520
